temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,segment_id
281.75,0,0,1,Clear,sky is clear,10/27/2015 8:00,5957,12
282.58,0,0,1,Clear,sky is clear,10/27/2015 10:00,4549,12
284.21,0,0,90,Clouds,overcast clouds,10/27/2015 12:00,4780,12
285.36,0,0,1,Clear,sky is clear,10/27/2015 13:00,4781,12
285.81,0,0,90,Clouds,overcast clouds,10/27/2015 15:00,5746,12
285.72,0,0,75,Clouds,broken clouds,10/27/2015 17:00,6324,12
285.15,0,0,90,Rain,moderate rain,10/27/2015 19:00,3157,12
283.44,0,0,90,Rain,heavy intensity rain,10/27/2015 21:00,3469,12
282.15,0,0,90,Rain,moderate rain,10/27/2015 23:00,1042,12
281.43,0,0,90,Rain,moderate rain,10/28/2015 0:00,507,12
281.43,0,0,90,Rain,moderate rain,10/28/2015 1:00,339,12
281.29,0,0,90,Rain,moderate rain,10/28/2015 4:00,910,12
281.15,0,0,90,Rain,moderate rain,10/28/2015 6:00,5687,12
280.93,0,0,90,Rain,moderate rain,10/28/2015 8:00,5329,12
280.77,0,0,90,Rain,moderate rain,10/28/2015 10:00,4642,12
278.01,0,0,90,Rain,light rain,10/28/2015 12:00,4865,12
276.58,0,0,90,Rain,moderate rain,10/28/2015 13:00,4958,12
275.86,0,0,90,Snow,light rain and snow,10/28/2015 15:00,5691,12
275.58,0,0,90,Snow,light snow,10/28/2015 17:00,5848,12
274.95,0,0,90,Snow,light snow,10/28/2015 19:00,3172,12
274.55,0,0,90,Snow,light snow,10/28/2015 21:00,2398,12
274.48,0,0,90,Snow,light snow,10/28/2015 23:00,935,12
275.08,0,0,90,Snow,light snow,10/29/2015 1:00,317,12
275.55,0,0,90,Rain,moderate rain,10/29/2015 2:00,229,12
276.08,0,0,90,Rain,moderate rain,10/29/2015 4:00,888,12
277.08,0,0,90,Rain,light rain,10/29/2015 6:00,5734,12
278.93,0,0,90,Rain,light rain,10/29/2015 8:00,5760,12
279.68,0,0,90,Rain,moderate rain,10/29/2015 10:00,4518,12
281.08,0,0,90,Rain,light rain,10/29/2015 12:00,4896,12
281.42,0,0,90,Rain,moderate rain,10/29/2015 13:00,4850,12
281.22,0,0,90,Mist,mist,10/29/2015 15:00,6000,12
280.55,0,0,90,Clouds,overcast clouds,10/29/2015 17:00,6320,12
280.15,0,0,90,Clouds,overcast clouds,10/29/2015 19:00,3428,12
280.02,0,0,90,Clouds,overcast clouds,10/29/2015 21:00,2746,12
279.87,0,0,90,Clouds,overcast clouds,10/29/2015 23:00,1242,12
279.51,0,0,90,Clouds,overcast clouds,10/30/2015 0:00,668,12
279.51,0,0,90,Clouds,overcast clouds,10/30/2015 2:00,306,12
279.22,0,0,90,Mist,mist,10/30/2015 4:00,869,12
278.55,0,0,90,Clouds,overcast clouds,10/30/2015 6:00,5771,12
277.89,0,0,90,Clouds,overcast clouds,10/30/2015 8:00,5405,12
278.86,0,0,90,Clouds,overcast clouds,10/30/2015 10:00,4831,12
280.72,0,0,40,Clouds,scattered clouds,10/30/2015 12:00,5676,12
283.01,0,0,1,Clear,sky is clear,10/30/2015 13:00,5466,12
283.82,0,0,1,Clear,sky is clear,10/30/2015 15:00,6158,12
284.15,0,0,40,Clouds,scattered clouds,10/30/2015 17:00,5934,12
282.89,0,0,40,Clouds,scattered clouds,10/30/2015 19:00,4015,12
283.01,0,0,90,Drizzle,drizzle,10/30/2015 21:00,3120,12
281.69,0,0,90,Rain,moderate rain,10/30/2015 23:00,2144,12
280.42,0,0,90,Rain,moderate rain,10/31/2015 0:00,1314,12
280.58,0,0,90,Rain,moderate rain,10/31/2015 3:00,411,12
280.55,0,0,90,Rain,moderate rain,10/31/2015 5:00,721,12
280.29,0,0,90,Rain,heavy intensity rain,10/31/2015 7:00,1806,12
280.37,0,0,90,Rain,moderate rain,10/31/2015 9:00,3356,12
280.86,0,0,90,Rain,light rain,10/31/2015 11:00,5488,12
281.46,0,0,90,Rain,light rain,10/31/2015 13:00,4546,12
282.3,0,0,90,Clouds,overcast clouds,10/31/2015 15:00,4648,12
283.08,0,0,90,Clouds,overcast clouds,10/31/2015 17:00,4105,12
282.22,0,0,40,Clouds,scattered clouds,10/31/2015 19:00,3012,12
283,0,0,90,Rain,light rain,10/31/2015 21:00,2880,12
282.75,0,0,90,Clouds,overcast clouds,10/31/2015 23:00,2017,12
282.81,0,0,75,Clouds,broken clouds,11/1/2015 0:00,1825,12
281.44,0,0,1,Clear,sky is clear,11/1/2015 1:00,779,12
281.15,0,0,90,Clouds,overcast clouds,11/1/2015 3:00,314,12
280.28,0,0,75,Clouds,broken clouds,11/1/2015 5:00,447,12
279.02,0,0,90,Clouds,overcast clouds,11/1/2015 7:00,1266,12
279.5,0,0,40,Clouds,scattered clouds,11/1/2015 9:00,2890,12
