date_time,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,segment_id,is_holiday,hour,is_peak,day_of_week
10/27/2015 8:00,,281.75,0,0,1,Clear,sky is clear,5957,12,0,8:00,1,1
10/27/2015 9:00,,282.165,0,0,,Clear,sky is clear,5253,,0,9:00,1,1
10/27/2015 10:00,,282.58,0,0,1,Clear,sky is clear,4549,12,0,10:00,0,1
10/27/2015 11:00,,283.395,0,0,,Clear,sky is clear,4664,,0,11:00,0,1
10/27/2015 12:00,,284.21,0,0,90,Clouds,overcast clouds,4780,12,0,12:00,0,1
10/27/2015 13:00,,285.36,0,0,1,Clear,sky is clear,4781,12,0,13:00,0,1
10/27/2015 14:00,,285.585,0,0,,Clear,sky is clear,5264,,0,14:00,0,1
10/27/2015 15:00,,285.81,0,0,90,Clouds,overcast clouds,5746,12,0,15:00,0,1
10/27/2015 16:00,,285.765,0,0,,Clouds,overcast clouds,6035,,0,16:00,1,1
10/27/2015 17:00,,285.72,0,0,75,Clouds,broken clouds,6324,12,0,17:00,1,1
10/27/2015 18:00,,285.435,0,0,,Clouds,broken clouds,4740,,0,18:00,1,1
10/27/2015 19:00,,285.15,0,0,90,Rain,moderate rain,3157,12,0,19:00,0,1
10/27/2015 20:00,,284.295,0,0,,Rain,moderate rain,3313,,0,20:00,0,1
10/27/2015 21:00,,283.44,0,0,90,Rain,heavy intensity rain,3469,12,0,21:00,0,1
10/27/2015 22:00,,282.795,0,0,,Rain,heavy intensity rain,2256,,0,22:00,0,1
10/27/2015 23:00,,282.15,0,0,90,Rain,moderate rain,1042,12,0,23:00,0,1
10/28/2015 0:00,,281.43,0,0,90,Rain,moderate rain,507,12,0,0:00,0,2
10/28/2015 1:00,,281.43,0,0,90,Rain,moderate rain,339,12,0,1:00,0,2
10/28/2015 2:00,,281.3833333,0,0,,Rain,moderate rain,529,,0,2:00,0,2
10/28/2015 3:00,,281.3366667,0,0,,Rain,moderate rain,720,,0,3:00,0,2
10/28/2015 4:00,,281.29,0,0,90,Rain,moderate rain,910,12,0,4:00,0,2
10/28/2015 5:00,,281.22,0,0,,Rain,moderate rain,3298,,0,5:00,0,2
10/28/2015 6:00,,281.15,0,0,90,Rain,moderate rain,5687,12,0,6:00,0,2
10/28/2015 7:00,,281.04,0,0,,Rain,moderate rain,5508,,0,7:00,1,2
10/28/2015 8:00,,280.93,0,0,90,Rain,moderate rain,5329,12,0,8:00,1,2
10/28/2015 9:00,,280.85,0,0,,Rain,moderate rain,4986,,0,9:00,1,2
10/28/2015 10:00,,280.77,0,0,90,Rain,moderate rain,4642,12,0,10:00,0,2
10/28/2015 11:00,,279.39,0,0,,Rain,moderate rain,4754,,0,11:00,0,2
10/28/2015 12:00,,278.01,0,0,90,Rain,light rain,4865,12,0,12:00,0,2
10/28/2015 13:00,,276.58,0,0,90,Rain,moderate rain,4958,12,0,13:00,0,2
10/28/2015 14:00,,276.22,0,0,,Rain,moderate rain,5324,,0,14:00,0,2
10/28/2015 15:00,,275.86,0,0,90,Snow,light rain and snow,5691,12,0,15:00,0,2
10/28/2015 16:00,,275.72,0,0,,Snow,light rain and snow,5770,,0,16:00,1,2
10/28/2015 17:00,,275.58,0,0,90,Snow,light snow,5848,12,0,17:00,1,2
10/28/2015 18:00,,275.265,0,0,,Snow,light snow,4510,,0,18:00,1,2
10/28/2015 19:00,,274.95,0,0,90,Snow,light snow,3172,12,0,19:00,0,2
10/28/2015 20:00,,274.75,0,0,,Snow,light snow,2785,,0,20:00,0,2
10/28/2015 21:00,,274.55,0,0,90,Snow,light snow,2398,12,0,21:00,0,2
10/28/2015 22:00,,274.515,0,0,,Snow,light snow,1666,,0,22:00,0,2
10/28/2015 23:00,,274.48,0,0,90,Snow,light snow,935,12,0,23:00,0,2
10/29/2015 0:00,,274.78,0,0,,Snow,light snow,626,,0,0:00,0,3
10/29/2015 1:00,,275.08,0,0,90,Snow,light snow,317,12,0,1:00,0,3
10/29/2015 2:00,,275.55,0,0,90,Rain,moderate rain,229,12,0,2:00,0,3
10/29/2015 3:00,,275.815,0,0,,Rain,moderate rain,558,,0,3:00,0,3
10/29/2015 4:00,,276.08,0,0,90,Rain,moderate rain,888,12,0,4:00,0,3
10/29/2015 5:00,,276.58,0,0,,Rain,moderate rain,3311,,0,5:00,0,3
10/29/2015 6:00,,277.08,0,0,90,Rain,light rain,5734,12,0,6:00,0,3
10/29/2015 7:00,,278.005,0,0,,Rain,light rain,5747,,0,7:00,1,3
10/29/2015 8:00,,278.93,0,0,90,Rain,light rain,5760,12,0,8:00,1,3
10/29/2015 9:00,,279.305,0,0,,Rain,light rain,5139,,0,9:00,1,3
10/29/2015 10:00,,279.68,0,0,90,Rain,moderate rain,4518,12,0,10:00,0,3
10/29/2015 11:00,,280.38,0,0,,Rain,moderate rain,4707,,0,11:00,0,3
10/29/2015 12:00,,281.08,0,0,90,Rain,light rain,4896,12,0,12:00,0,3
10/29/2015 13:00,,281.42,0,0,90,Rain,moderate rain,4850,12,0,13:00,0,3
10/29/2015 14:00,,281.32,0,0,,Rain,moderate rain,5425,,0,14:00,0,3
10/29/2015 15:00,,281.22,0,0,90,Mist,mist,6000,12,0,15:00,0,3
10/29/2015 16:00,,280.885,0,0,,Mist,mist,6160,,0,16:00,1,3
